PARKID,NAME,CITY,STATE,START,END,LEAGUE,AKA
PRO01,Adelaide Avenue Grounds,Providence,RI,18750612,18750622,NA,Providence Base Ball Grounds; Adelaide Park
PRO02,Messer Street Grounds,Providence,RI,18780501,18850909,NL,Messer Park
RCK01,Virginia State Agricultural Society Fair Grounds,Rockford,IL,18710506,18710803,NA,Richmond Fair Grounds
RIC01,Richmond Fair Grounds,Richmond,VA,18750429,18750501,NA,Virginia State Agricultural Society Fair Grounds
RIC02,Allens Pasture,Richmond,VA,18840805,18841015,AA,Virginia Base-Ball Park
ROC01,Culver Field I,Rochester,NY,18900428,18901004,AA,
ROC02,Culver Field II,Rochester,NY,18980827,18980829,NL,
ROC03,Ontario Beach Grounds,Rochester,NY,18980828,18980828,NL,
SAI01,St. George Cricket Grounds,New York,NY,18860422,18890614,,Mutrie's Dump
SAN01,Jack Murphy Stadium,San Diego,CA,19690408,20030928,NL,San Diego Stadium;  Qualcomm Stadium; San Diego-Jack Murphy Stadium
SAN02,Petco Park,San Diego,CA,20040408,,NL,
SEA01,Sicks' Stadium,Seattle,WA,19690411,19691002,AL,Sicks' Select Stadium; Sicks' Seattle Stadium; Seattle Stadium
SEA02,Kingdome,Seattle,WA,19770406,19990627,AL,King County Stadium
SEA03,Safeco Field,Seattle,WA,19990715,,AL,
SFO01,Seals Stadium,San Francisco,CA,19580415,19590920,NL,
SFO02,Candlestick Park,San Francisco,CA,19600412,19990930,NL,3Com Park; 3Com Park at Candlestick Point; The Stick
SFO03,AT&T Park,San Francisco,CA,20000411,,NL,Pac Bell Park; SBC Park
SJU01,Estadio Hiram Bithorn,San Juan,PR,20010401,20100630,NL,Hiram Bithorn Stadium
SPA01,Ft. Street Grounds,St. Paul,MN,,,,West Seventh Street Park
SPR01,Hampden Park Race Track,Springfield,MA,18720723,18750514,NA,Springfield Track
STL01,Red Stocking Base-Ball Park,St. Louis,MO,18750504,18750704,NA,Compton Avenue Base Ball Park
STL02,Grand Avenue Park,St. Louis,MO,18750506,18780713,,Sportsman's Park; Grand Avenue Grounds
STL03,Sportsman's Park I,St. Louis,MO,18820502,18921013,,Athletic Park
STL04,Palace Park of America,St. Louis,MO,18840420,18860923,,Union Grounds
STL05,Robison Field,St. Louis,MO,18930427,19200606,NL,League Park; Cardinal Field; Vandeventer Lot
STL06,Sportsman's Park II,St. Louis,MO,19020423,19081006,AL,
STL07,Sportsman's Park III,St. Louis,MO,19090414,19660508,,Busch Stadium
STL08,Handlan's Park,St. Louis,MO,19140416,19151003,FL,Federal League Park; Laclede Street Field; Grand and Market; Steininger Field
STL09,Busch Stadium II,St. Louis,MO,19660512,20051002,NL,Busch Memorial Stadium
STL10,Busch Stadium III,St. Louis,MO,20060410,,NL,
STP01,Tropicana Field,St. Petersburg,FL,19980331,,AL,
SYD01,Sydney Cricket Ground,Sydney,AUS,20140322,20140323,NL,
SYR01,Star Park I,Syracuse,NY,18790528,18790910,NL,Newell Park
SYR02,Star Park II,Syracuse,NY,18900428,18901004,AA,
SYR03,Iron Pier,Syracuse,NY,18900803,18900803,AA,
THR01,Three Rivers Park,Three Rivers,NY,18900518,18900720,AA,
TOK01,Tokyo Dome,Tokyo,JAP,20000329,20120329,,Big Egg; Tokyo Kyujyo
TOL01,League Park,Toledo,OH,18840514,18840924,AA,
TOL02,Tri-State Fair Grounds,Toledo,OH,18840913,18840913,AA,
TOL03,Speranza Park,Toledo,OH,18900501,18901002,AA,
TOL04,Armory Park,Toledo,OH,19030628,19030816,AL,Military Park
TOR01,Exhibition Stadium,Toronto,ONT,19770407,19890528,AL,Prohibition Stadium; Canadian National Exhibition Stadium
TOR02,Rogers Centre,Toronto,ONT,19890605,,AL,Skydome
TRO01,Haymakers' Grounds,Troy,NY,18710509,18810930,,
TRO02,Putnam Grounds,Troy,NY,18790528,18790920,NL,The Puts; Beman Park
WAR01,Rocky Point Park,Warwick,RI,19030906,19030906,NL,
